Drug	Rank	Score	Type	Path
HEB1435	1	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE04859 -> experiments -> GEE05772 -> experiments -> GEE16564 -> is_associated_with -> DM06
HEB1435	2	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE04859 -> experiments -> GEE00401 -> experiments -> GEE09873 -> is_associated_with -> DM06
HEB1435	3	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE04495 -> experiments -> GEE00209 -> experiments -> GEE06982 -> is_associated_with -> DM06
HEB1435	4	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03899 -> experiments -> GEE02617 -> experiments -> GEE11508 -> is_associated_with -> DM06
HEB1435	5	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03899 -> experiments -> GEE01290 -> experiments -> GEE02648 -> is_associated_with -> DM06
HEB1435	6	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03899 -> experiments -> GEE00851 -> experiments -> GEE02648 -> is_associated_with -> DM06
HEB1435	7	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03793 -> experiments -> GEE07742 -> experiments -> GEE11048 -> is_associated_with -> DM06
HEB1435	8	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03793 -> experiments -> GEE05078 -> experiments -> GEE11048 -> is_associated_with -> DM06
HEB1435	9	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03793 -> experiments -> GEE03403 -> experiments -> GEE07592 -> is_associated_with -> DM06
HEB1435	10	0.2134	BFS_PATH	HEB1435 -> is_associated_with -> GEE03720 -> experiments -> GEE17349 -> experiments -> GEE11675 -> is_associated_with -> DM06
HEB1482	1	0.3406	"137	29	0.2116788321167883	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE00736)"	HEB1482 -> is_associated_with -> GEE03969 -> experiments_transferred -> GEE00736 -> candidate_for -> DM06
HEB1482	2	0.2266	"101	18	0.1782178217821782	candidate_for(X,DM06) <= includes(X,A), regulates(A,GEE14778)"	HEB1482 -> includes -> INT06720 -> regulates -> GEE14778 -> candidate_for -> DM06
HEB1482	3	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE14680 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	4	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE13268 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	5	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE12337 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	6	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE12217 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	7	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE09523 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	8	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE08700 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	9	0.2222	"688	95	0.1380813953488372	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE08100)"	HEB1482 -> is_associated_with -> GEE07476 -> experiments_transferred -> GEE08100 -> candidate_for -> DM06
HEB1482	10	0.2208	"153	21	0.13725490196078433	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE12135)"	HEB1482 -> is_associated_with -> GEE16679 -> experiments_transferred -> GEE12135 -> candidate_for -> DM06
HEB5161	1	0.3699	"7	3	0.42857142857142855	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16912)"	HEB5161 -> is_associated_with -> GEE18577 -> textmining -> GEE16912 -> candidate_for -> DM06
HEB5161	2	0.3406	"137	29	0.2116788321167883	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE00736)"	HEB5161 -> is_associated_with -> GEE03969 -> experiments_transferred -> GEE00736 -> candidate_for -> DM06
HEB5161	3	0.3140	"82	16	0.1951219512195122	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE09148)"	HEB5161 -> is_associated_with -> GEE09255 -> experiments_transferred -> GEE09148 -> candidate_for -> DM06
HEB5161	4	0.2877	"9	3	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16181)"	HEB5161 -> is_associated_with -> GEE19441 -> textmining -> GEE16181 -> candidate_for -> DM06
HEB5161	5	0.2877	"9	3	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16181)"	HEB5161 -> is_associated_with -> GEE16371 -> textmining -> GEE16181 -> candidate_for -> DM06
HEB5161	6	0.2877	"12	4	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression(A,GEE12307)"	HEB5161 -> is_associated_with -> GEE09507 -> coexpression -> GEE12307 -> candidate_for -> DM06
HEB5161	7	0.2497	"567	88	0.15520282186948853	candidate_for(X,DM06) <= is_associated_with(X,A), experiments(A,GEE09016)"	HEB5161 -> is_associated_with -> GEE04090 -> experiments -> GEE09016 -> candidate_for -> DM06
HEB5161	8	0.2466	"7	2	0.2857142857142857	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE16641)"	HEB5161 -> is_associated_with -> GEE16922 -> textmining -> GEE16641 -> candidate_for -> DM06
HEB5161	9	0.2399	"53	10	0.18867924528301888	candidate_for(X,DM06) <= includes(X,A), acts_on(A,GEE15482)"	HEB5161 -> includes -> INT05811 -> acts_on -> GEE15482 -> candidate_for -> DM06
HEB5161	10	0.2381	"10	3	0.3	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE04369)"	HEB5161 -> is_associated_with -> GEE13708 -> covaries -> GEE04369 -> candidate_for -> DM06
HEB3348	1	0.3406	"137	29	0.2116788321167883	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE00736)"	HEB3348 -> is_associated_with -> GEE03969 -> experiments_transferred -> GEE00736 -> candidate_for -> DM06
HEB3348	2	0.2877	"12	4	0.3333333333333333	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression(A,GEE12307)"	HEB3348 -> is_associated_with -> GEE09507 -> coexpression -> GEE12307 -> candidate_for -> DM06
HEB3348	3	0.2741	"81	18	0.2222222222222222	candidate_for(X,DM06) <= includes(X,A), regulates(A,GEE19383)"	HEB3348 -> includes -> INT05668 -> regulates -> GEE19383 -> candidate_for -> DM06
