Drug	Rank	Score	Type	Path
HEB1435	1	0.1377	"256	49	0.19140625	candidate_for(X,DM06) <= is_associated_with(X,A), coexpression(A,GEE03168)"	HEB1435 -> is_associated_with -> GEE13453 -> coexpression -> GEE03168 -> candidate_for -> DM06
HEB1435	2	0.1349	"256	48	0.1875	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE15052)"	HEB1435 -> is_associated_with -> GEE11375 -> textmining -> GEE15052 -> candidate_for -> DM06
HEB1435	3	0.1323	"261	48	0.1839080459770115	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE17195)"	HEB1435 -> is_associated_with -> GEE11375 -> homology -> GEE17195 -> candidate_for -> DM06
HEB1435	4	0.1136	"481	76	0.158004158004158	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10978)"	HEB1435 -> is_associated_with -> GEE05103 -> database -> GEE10978 -> candidate_for -> DM06
HEB1435	5	0.1134	"463	73	0.15766738660907129	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE25384)"	HEB1435 -> is_associated_with -> GEE05103 -> textmining -> GEE25384 -> candidate_for -> DM06
HEB1435	6	0.1062	"122	24	0.19672131147540983	candidate_for(X,DM06) <= cure(X,A), indirect_regulation(A,GEE13026)"	HEB1435 -> cure -> ZH073 -> indirect_regulation -> GEE13026 -> candidate_for -> DM06
HEB1435	7	0.1062	"420	62	0.14761904761904762	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10477)"	HEB1435 -> is_associated_with -> GEE05679 -> database -> GEE10477 -> candidate_for -> DM06
HEB1435	8	0.1035	BFS_PATH	HEB1435 -> is_associated_with -> GEE04837 -> textmining -> GEE13767 -> is_associated_with -> DM06
HEB1435	9	0.1035	BFS_PATH	HEB1435 -> is_associated_with -> GEE04438 -> textmining -> GEE08031 -> is_associated_with -> DM06
HEB1435	10	0.1035	BFS_PATH	HEB1435 -> is_associated_with -> GEE02971 -> interacts -> GEE12801 -> is_associated_with -> DM06
HEB1482	1	0.1726	"50	12	0.24	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE19540)"	HEB1482 -> is_associated_with -> GEE13667 -> textmining -> GEE19540 -> candidate_for -> DM06
HEB1482	2	0.1654	"44	11	0.25	candidate_for(X,DM06) <= is_associated_with(X,A), covaries(A,GEE15723)"	HEB1482 -> is_associated_with -> GEE14831 -> covaries -> GEE15723 -> candidate_for -> DM06
HEB1482	3	0.1577	"137	29	0.2116788321167883	candidate_for(X,DM06) <= is_associated_with(X,A), experiments_transferred(A,GEE00736)"	HEB1482 -> is_associated_with -> GEE03969 -> experiments_transferred -> GEE00736 -> candidate_for -> DM06
HEB1482	4	0.1349	"256	48	0.1875	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE15052)"	HEB1482 -> is_associated_with -> GEE11375 -> textmining -> GEE15052 -> candidate_for -> DM06
HEB1482	5	0.1323	"261	48	0.1839080459770115	candidate_for(X,DM06) <= is_associated_with(X,A), homology(A,GEE17195)"	HEB1482 -> is_associated_with -> GEE11375 -> homology -> GEE17195 -> candidate_for -> DM06
HEB1482	6	0.1269	"170	30	0.17647058823529413	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE10533)"	HEB1482 -> is_associated_with -> GEE04806 -> textmining -> GEE10533 -> candidate_for -> DM06
HEB1482	7	0.1228	"82	14	0.17073170731707318	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE01829)"	HEB1482 -> is_associated_with -> GEE15650 -> textmining -> GEE01829 -> candidate_for -> DM06
HEB1482	8	0.1167	"208	38	0.18269230769230768	candidate_for(X,DM06) <= is_associated_with(X,A), is_associated_with(A,DCP08931)"	HEB1482 -> is_associated_with -> GEE08428 -> is_associated_with -> DCP08931 -> candidate_for -> DM06
HEB1482	9	0.1136	"481	76	0.158004158004158	candidate_for(X,DM06) <= is_associated_with(X,A), database(A,GEE10978)"	HEB1482 -> is_associated_with -> GEE05103 -> database -> GEE10978 -> candidate_for -> DM06
HEB1482	10	0.1134	"463	73	0.15766738660907129	candidate_for(X,DM06) <= is_associated_with(X,A), textmining(A,GEE25384)"	HEB1482 -> is_associated_with -> GEE05103 -> textmining -> GEE25384 -> candidate_for -> DM06
