Drug	Rank	Score	Type	Path
HEB1435	1	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE11284 -> textmining -> GEE12017 -> experiments_transferred -> GEE12801 -> is_associated_with -> DM06
HEB1435	2	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE11187 -> textmining -> GEE13376 -> experiments -> GEE10910 -> is_associated_with -> DM06
HEB1435	3	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE09701 -> textmining -> GEE13649 -> experiments -> GEE07134 -> is_associated_with -> DM06
HEB1435	4	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE08844 -> experiments_transferred -> GEE16136 -> textmining -> GEE15500 -> is_associated_with -> DM06
HEB1435	5	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE08490 -> experiments -> GEE09028 -> experiments -> GEE14119 -> is_associated_with -> DM06
HEB1435	6	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE07684 -> interacts -> GEE15080 -> experiments_transferred -> GEE10807 -> is_associated_with -> DM06
HEB1435	7	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE07684 -> interacts -> GEE15080 -> experiments -> GEE10807 -> is_associated_with -> DM06
HEB1435	8	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE07672 -> regulates -> GEE12412 -> experiments -> GEE15632 -> is_associated_with -> DM06
HEB1435	9	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE07672 -> regulates -> GEE12412 -> experiments -> GEE11025 -> is_associated_with -> DM06
HEB1435	10	1.0000	BFS_PATH	HEB1435 -> is_associated_with -> GEE07276 -> interacts -> GEE06433 -> experiments -> GEE06982 -> is_associated_with -> DM06
HEB1482	1	1.0000	BFS_PATH	HEB1482 -> includes -> INT16424 -> treats -> TS2038 -> is_affected_by -> GEE05667 -> is_associated_with -> DM06
HEB1482	2	1.0000	BFS_PATH	HEB1482 -> includes -> INT16424 -> treats -> TS1001 -> is_affected_by -> GEE05667 -> is_associated_with -> DM06
HEB1482	3	1.0000	BFS_PATH	HEB1482 -> includes -> INT16422 -> treats -> TS2307 -> is_affected_by -> GEE20214 -> is_associated_with -> DM06
HEB1482	4	1.0000	BFS_PATH	HEB1482 -> includes -> INT16422 -> treats -> TS2307 -> is_affected_by -> GEE20213 -> is_associated_with -> DM06
HEB1482	5	1.0000	BFS_PATH	HEB1482 -> includes -> INT16422 -> treats -> TS2307 -> is_affected_by -> GEE20212 -> is_associated_with -> DM06
HEB1482	6	1.0000	BFS_PATH	HEB1482 -> includes -> INT16422 -> treats -> TS2307 -> is_affected_by -> GEE20211 -> is_associated_with -> DM06
HEB1482	7	1.0000	BFS_PATH	HEB1482 -> includes -> INT16422 -> treats -> TS2307 -> is_affected_by -> GEE20210 -> is_associated_with -> DM06
