Drug,Experiment,Rank,Score,Source,Path
DCP04678,Baseline,1,0.1494,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Baseline,2,0.1494,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Baseline,3,0.0828,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
DCP04678,Baseline,4,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Baseline,5,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Baseline,6,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Baseline,7,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Baseline,8,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Baseline,9,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Baseline,10,0.0787,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,1,1.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,2,1.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,3,0.9720,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,4,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,5,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,6,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,7,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,8,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,9,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp1_NoDistinction,10,0.7873,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,1,0.0001,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,2,0.0001,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,3,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,4,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,5,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,6,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,7,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,8,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,9,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp1_StrongDistinction,10,0.0000,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,1,0.2277,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,2,0.2277,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE12807 -[experiments]-> GEE07134 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,3,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE13527 -[textmining]-> GEE10118 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,4,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[textmining]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,5,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12834 -[database]-> GEE16564 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,6,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12354 -[textmining]-> GEE14022 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,7,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[is_associated_with]-> GEE12141 -[textmining]-> GEE08245 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,8,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE15585 -[textmining]-> GEE11025 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,9,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[expresses]-> GEE13859 -[interacts]-> GEE16579 -[is_associated_with]-> DM06
DCP04678,Exp2_NoDecay,10,0.1200,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE15140 -[textmining]-> GEE11139 -[is_associated_with]-> DM06
DCP04678,Exp2_StrongDecay,1,0.0255,Rule,DCP04678 -[treats]-> DIMM00003 -[associates]-> GEE13767 -[is_associated_with]-> DM06
