Experiment,Drug,IoU,global_weight_factor,dfs_penalty,bonus_exp,isi_floor,decay_factor,mode
Baseline,DCP04678,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,DCP04678,1.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,DCP04678,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,DCP04678,0.8181818181818182,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,DCP04678,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP04678,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,DCP04678,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,DCP04678,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB3348,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB3348,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB3348,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB3348,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB3348,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB3348,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB3348,0.6666666666666666,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB3348,0.3333333333333333,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB5161,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB5161,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB5161,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB5161,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB5161,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB5161,0.42857142857142855,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB5161,0.25,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB5161,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,DCP12738,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,DCP12738,0.8181818181818182,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,DCP12738,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,DCP12738,0.8181818181818182,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,DCP12738,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,DCP12738,1.0,1.0,0.2,1.0,0.01,0.9,normal
