query,relation,direction,entity,score,rank
GEE01844,is_associated_with,h→t,HEB1435,41.59596633911133,1
GEE01844,is_associated_with,h→t,HEB1195,39.161277770996094,5
GEE03480,is_associated_with,h→t,HEB1482,38.62653350830078,1
GEE05134,is_associated_with,h→t,HEB5161,37.74321365356445,1
GEE00645,is_associated_with,h→t,HEB3348,37.02558898925781,1
GEE01844,is_associated_with,h→t,HEB4966,37.01950454711914,6
GEE01844,is_associated_with,h→t,HEB3663,37.00187301635742,7
GEE05134,is_associated_with,h→t,HEB0006,36.28817367553711,3
GEE05134,is_associated_with,h→t,HEB0621,35.942134857177734,4
GEE05134,is_associated_with,h→t,HEB1194,35.825862884521484,5
GEE05134,is_associated_with,h→t,HEB0958,35.58960723876953,6
GEE01844,is_associated_with,h→t,HEB2283,35.545654296875,8
GEE05134,is_associated_with,h→t,HEB5393,35.525611877441406,7
GEE05134,is_associated_with,h→t,HEB2454,35.329002380371094,8
GEE01844,is_associated_with,h→t,HEB1610,35.00239562988281,9
GEE01844,is_associated_with,h→t,HEB5234,34.906925201416016,10
GEE01844,is_associated_with,h→t,HEB2673,34.849647521972656,11
GEE05134,is_associated_with,h→t,HEB2881,34.66341018676758,9
GEE01844,is_associated_with,h→t,HEB2854,34.628456115722656,13
GEE03480,is_associated_with,h→t,HEB5184,34.46696853637695,3
GEE01844,is_associated_with,h→t,HEB2932,34.38357162475586,15
GEE03480,is_associated_with,h→t,HEB1926,34.3154296875,4
GEE05134,is_associated_with,h→t,HEB0037,34.236045837402344,11
GEE01844,is_associated_with,h→t,HEB5221,33.98684310913086,16
GEE03480,is_associated_with,h→t,HEB1301,33.88283920288086,5
GEE05134,is_associated_with,h→t,HEB2300,33.817623138427734,12
GEE01844,is_associated_with,h→t,HEB1362,33.803592681884766,17
GEE01844,is_associated_with,h→t,HEB3631,33.70510482788086,18
GEE01844,is_associated_with,h→t,HEB0018,33.578792572021484,20
GEE01844,is_associated_with,h→t,HEB1298,33.50433349609375,21
GEE05134,is_associated_with,h→t,HEB1553,33.47610855102539,14
GEE01844,is_associated_with,h→t,HEB0780,33.344730377197266,22
GEE01844,is_associated_with,h→t,HEB5637,33.241939544677734,23
GEE01844,is_associated_with,h→t,HEB2502,33.21761703491211,24
GEE01844,is_associated_with,h→t,HEB1481,33.183319091796875,25
GEE03480,is_associated_with,h→t,HEB5068,33.06809997558594,7
GEE06766,is_associated_with,h→t,HEB5058,32.88874435424805,1
GEE06766,is_associated_with,h→t,HEB4619,32.873809814453125,2
GEE01844,is_associated_with,h→t,HEB3939,32.849632263183594,27
GEE01844,binds,h→t,HEB2834,32.83749008178711,1
GEE05134,is_associated_with,h→t,HEB5808,32.83607864379883,15
GEE05134,is_associated_with,h→t,HEB5169,32.82682418823242,16
GEE01844,is_associated_with,h→t,HEB6094,32.7423210144043,28
GEE01844,is_associated_with,h→t,HEB0111,32.70333480834961,29
GEE05134,is_associated_with,h→t,HEB5364,32.67253494262695,17
GEE05134,is_associated_with,h→t,HEB1634,32.66498565673828,18
GEE05134,is_associated_with,h→t,HEB4492,32.63047790527344,19
GEE01844,is_associated_with,h→t,HEB2572,32.612449645996094,30
GEE01844,is_associated_with,h→t,HEB0793,32.58120346069336,31
GEE00645,is_associated_with,h→t,HEB2050,32.51597595214844,3
GEE06766,is_associated_with,h→t,HEB3062,32.46649932861328,3
GEE05134,is_associated_with,h→t,HEB5971,32.44073486328125,20
GEE03480,is_associated_with,h→t,HEB4218,32.39303207397461,8
GEE05134,is_associated_with,h→t,HEB4339,32.33528518676758,21
GEE01844,is_associated_with,h→t,HEB2345,32.19256591796875,33
GEE05134,is_associated_with,h→t,HEB0672,32.17767333984375,22
GEE03480,is_associated_with,h→t,HEB5243,32.17014694213867,9
GEE05134,is_associated_with,h→t,HEB1277,32.15489959716797,23
GEE01844,is_associated_with,h→t,HEB2861,32.11654281616211,34
GEE00645,is_associated_with,h→t,HEB4379,32.055816650390625,4
GEE01844,is_associated_with,h→t,HEB2621,31.885526657104492,36
GEE03480,is_associated_with,h→t,HEB5586,31.84441566467285,11
GEE05134,is_associated_with,h→t,HEB6092,31.836727142333984,25
GEE00645,is_associated_with,h→t,HEB1533,31.78645133972168,5
GEE01844,is_associated_with,h→t,HEB6079,31.77168846130371,37
GEE05134,is_associated_with,h→t,HEB2630,31.753602981567383,27
GEE03480,is_associated_with,h→t,HEB0293,31.74960708618164,12
GEE01844,is_associated_with,h→t,HEB0452,31.707500457763672,38
GEE01844,is_associated_with,h→t,HEB0485,31.582300186157227,40
GEE03480,is_associated_with,h→t,HEB2882,31.404417037963867,14
GEE01844,is_associated_with,h→t,HEB3425,31.35163116455078,43
GEE05134,is_associated_with,h→t,HEB3131,31.335899353027344,28
GEE01844,is_associated_with,h→t,HEB3384,31.294254302978516,44
GEE00645,is_associated_with,h→t,HEB3506,31.23039436340332,6
GEE01844,is_associated_with,h→t,HEB4247,31.225460052490234,46
GEE05134,is_associated_with,h→t,HEB3382,31.210346221923828,29
GEE00645,is_associated_with,h→t,HEB3522,31.204641342163086,7
GEE06766,is_associated_with,h→t,HEB3272,31.121610641479492,5
GEE05134,is_associated_with,h→t,HEB2320,31.08237075805664,30
GEE01844,is_associated_with,h→t,HEB4769,31.07879638671875,47
GEE01844,is_associated_with,h→t,HEB1745,31.068655014038086,48
GEE01844,is_associated_with,h→t,HEB0022,31.02400779724121,49
GEE01844,binds,h→t,HEB2727,31.021448135375977,2
GEE00645,is_associated_with,h→t,HEB0977,31.020328521728516,8
GEE00146,is_associated_with,h→t,HEB3722,30.98037338256836,1
GEE01844,is_associated_with,h→t,HEB0016,30.966941833496094,50
GEE05134,is_associated_with,h→t,HEB3100,30.919788360595703,32
GEE03480,is_associated_with,h→t,HEB1333,30.882143020629883,16
GEE01844,is_associated_with,h→t,HEB1411,30.86852264404297,51
GEE05134,is_associated_with,h→t,HEB3668,30.850828170776367,33
GEE05134,is_associated_with,h→t,HEB0574,30.844070434570312,34
GEE03480,is_associated_with,h→t,HEB5807,30.80408477783203,17
GEE05134,is_associated_with,h→t,HEB1306,30.794973373413086,35
GEE05134,is_associated_with,h→t,HEB1657,30.790225982666016,36
GEE05134,is_associated_with,h→t,HEB0299,30.759958267211914,37
GEE01844,is_associated_with,h→t,HEB5347,30.757709503173828,52
GEE01844,is_associated_with,h→t,HEB5050,30.712461471557617,53
GEE05134,is_associated_with,h→t,HEB2933,30.70316505432129,38
GEE05134,is_associated_with,h→t,HEB4035,30.68457794189453,39
GEE00645,is_associated_with,h→t,HEB5684,30.67697525024414,10
