query,relation,direction,entity,score,rank
GEE01844,functions,h→t,DCP11264,37.70449447631836,4
GEE01844,binds,h→t,DCP11641,31.855636596679688,7
GEE01844,functions,h→t,DCP11114,31.584001541137695,11
GEE01146,is_associated_with,h→t,DCP01226,31.40850067138672,1
GEE01844,binds,h→t,DCP12931,31.210111618041992,8
GEE01844,functions,h→t,DCP11209,30.428735733032227,13
GEE01844,functions,h→t,DCP12948,30.397254943847656,14
GEE23939,is_associated_with,h→t,DCP04678,30.13939094543457,1
GEE06766,is_associated_with,h→t,DCP12738,29.862930297851562,1
GEE01146,is_associated_with,h→t,DCP00198,29.856897354125977,2
GEE01844,functions,h→t,DCP11358,29.73041534423828,16
GEE01844,functions,h→t,DCP12959,29.20087432861328,18
GEE23939,is_associated_with,h→t,DCP05040,28.775848388671875,2
GEE01146,is_associated_with,h→t,DCP08947,28.738412857055664,3
GEE01844,binds,h→t,DCP15264,28.370594024658203,9
GEE23939,is_associated_with,h→t,DCP04638,28.31095314025879,3
GEE01844,binds,h→t,DCP11932,28.08684539794922,10
GEE00972,is_associated_with,h→t,DCP10156,27.99557113647461,1
GEE01844,functions,h→t,DCP23426,27.97281837463379,25
GEE00645,is_associated_with,h→t,DCP07553,27.94321632385254,1
GEE01844,is_associated_with,h→t,DCP08748,27.852584838867188,1
GEE01844,functions,h→t,DCP23502,27.732637405395508,27
GEE23926,is_associated_with,h→t,DCP10157,27.70281219482422,1
GEE01844,functions,h→t,DCP11180,27.64059829711914,28
GEE00645,is_associated_with,h→t,DCP03352,27.391372680664062,2
GEE23939,is_associated_with,h→t,DCP00768,27.35472869873047,4
GEE06766,is_associated_with,h→t,DCP02908,27.34939193725586,2
GEE23926,is_associated_with,h→t,DCP12222,27.235565185546875,2
GEE03480,functions,h→t,DCP11226,27.07189178466797,4
GEE01844,functions,h→t,DCP11020,27.029264450073242,31
GEE01844,binds,h→t,DCP11124,26.921445846557617,14
GEE01844,functions,h→t,DCP13031,26.75833511352539,35
GEE01844,binds,h→t,DCP11928,26.682302474975586,15
GEE05285,binds,h→t,DCP12927,26.64822769165039,1
GEE01844,is_associated_with,h→t,DCP03232,26.60209083557129,2
GEE01146,is_associated_with,h→t,DCP09693,26.594533920288086,4
GEE01844,functions,h→t,DCP12797,26.56172752380371,36
GEE23939,is_associated_with,h→t,DCP04387,26.471643447875977,5
GEE23939,is_associated_with,h→t,DCP04842,26.45587730407715,6
GEE05283,downregulates,h→t,DCP11343,26.428279876708984,1
GEE23939,is_associated_with,h→t,DCP04975,26.355510711669922,7
GEE23926,is_associated_with,h→t,DCP09894,26.273956298828125,3
GEE00005,is_associated_with,h→t,DCP02389,26.265291213989258,1
GEE01844,functions,h→t,DCP11286,26.261852264404297,38
GEE23939,is_associated_with,h→t,DCP04997,26.226913452148438,8
GEE01844,functions,h→t,DCP11287,26.224288940429688,40
GEE01844,binds,h→t,DCP11536,26.1773681640625,16
GEE01323,is_associated_with,h→t,DCP11008,26.169485092163086,1
GEE01844,binds,h→t,DCP11353,26.12967872619629,17
GEE01844,binds,h→t,DCP23458,26.041440963745117,18
GEE05134,binds,h→t,DCP12717,25.99070167541504,4
GEE23926,is_associated_with,h→t,DCP04279,25.856464385986328,4
GEE00146,functions,h→t,DCP11786,25.84905242919922,3
GEE01844,binds,h→t,DCP11360,25.838346481323242,20
GEE23939,is_associated_with,h→t,DCP04393,25.81069564819336,9
GEE01167,is_associated_with,h→t,DCP06468,25.733980178833008,1
GEE01844,is_associated_with,h→t,DCP07031,25.733963012695312,3
GEE01844,functions,h→t,DCP12477,25.673192977905273,48
GEE23939,is_associated_with,h→t,DCP05039,25.67290496826172,10
GEE23926,is_associated_with,h→t,DCP11100,25.619997024536133,5
GEE01844,binds,h→t,DCP12864,25.599872589111328,22
GEE01146,is_associated_with,h→t,DCP12572,25.59699058532715,5
GEE23939,is_associated_with,h→t,DCP04635,25.579265594482422,11
GEE01146,is_associated_with,h→t,DCP09533,25.44431495666504,6
GEE01844,is_associated_with,h→t,DCP02513,25.412879943847656,4
GEE01844,functions,h→t,DCP11440,25.36475372314453,52
GEE01844,binds,h→t,DCP12207,25.350360870361328,23
GEE01146,is_associated_with,h→t,DCP07044,25.327072143554688,7
GEE23939,is_associated_with,h→t,DCP10010,25.284622192382812,12
GEE23939,is_associated_with,h→t,DCP05002,25.2822322845459,13
GEE05919,binds,h→t,DCP11905,25.244218826293945,5
