Error in source line 7119303: ['DCP17303', 'treats', 'DIMM17378'] - 缺失头实体'DCP17303'
Error in source line 7120544: ['DCP17678', 'treats', 'DIMM08294'] - 缺失头实体'DCP17678'
Error in source line 7130835: ['DCP19812', 'treats', 'DIMM37505'] - 缺失头实体'DCP19812'
Error in source line 4621843: ['HEB1979', 'includes', 'INT19547'] - 缺失尾实体'INT19547'
Error in source line 7108028: ['DCP11325', 'treats', 'DIMM37183'] - 缺失尾实体'DIMM37183'
Error in source line 7117834: ['DCP16896', 'treats', 'DM03'] - 缺失头实体'DCP16896'
Error in source line 5228264: ['DIMM22615', 'is_associated_with', 'GEE06904'] - 缺失头实体'DIMM22615'
Error in source line 7131530: ['DCP20020', 'treats', 'DIMM37661'] - 缺失头实体'DCP20020'
Error in source line 4660300: ['HEB5613', 'includes', 'INT34512'] - 缺失尾实体'INT34512'
Error in source line 2199300: ['MS0193', 'manifests_in', 'DIMM33543'] - 缺失尾实体'DIMM33543'
Error in source line 7133985: ['DCP21507', 'treats', 'DIMM37815'] - 缺失头实体'DCP21507'
Error in source line 7133985: ['DCP21507', 'treats', 'DIMM37815'] - 缺失尾实体'DIMM37815'
Error in source line 4840472: ['DIMM06774', 'is_associated_with', 'GEE00081'] - 缺失头实体'DIMM06774'
Error in source line 1783349: ['DCP11852', 'causes', 'C0694547'] - 缺失尾实体'C0694547'
Error in source line 4896133: ['DIMM09229', 'is_associated_with', 'GEE02394'] - 缺失头实体'DIMM09229'
Error in source line 2214667: ['MS0138', 'manifests_in', 'DIMM35385'] - 缺失尾实体'DIMM35385'
Error in source line 2196493: ['MS0554', 'manifests_in', 'DIMM33321'] - 缺失尾实体'DIMM33321'
Error in source line 2202574: ['MS0057', 'manifests_in', 'DIMM33974'] - 缺失尾实体'DIMM33974'
Error in source line 2212257: ['MS0193', 'manifests_in', 'DIMM35096'] - 缺失尾实体'DIMM35096'
Error in source line 4618895: ['HEB1709', 'includes', 'INT18215'] - 缺失尾实体'INT18215'
Error in source line 1866166: ['GEE02375', 'participates', 'GO:0031914'] - 缺失尾实体'GO:0031914'
Error in source line 5137723: ['DIMM19173', 'is_associated_with', 'GEE02431'] - 缺失头实体'DIMM19173'
Error in source line 4649688: ['HEB4536', 'includes', 'INT30788'] - 缺失尾实体'INT30788'
Error in source line 5094907: ['DIMM17260', 'is_associated_with', 'GEE00660'] - 缺失头实体'DIMM17260'
Error in source line 2270779: ['GEE08750', 'is_associated_with', 'DIMM36815'] - 缺失尾实体'DIMM36815'
Error in source line 4655630: ['HEB5146', 'includes', 'INT03106'] - 缺失头实体'HEB5146'
Error in source line 7120939: ['DCP17766', 'treats', 'DIMM02556'] - 缺失头实体'DCP17766'
Error in source line 2189066: ['MS0157', 'manifests_in', 'DIMM32352'] - 缺失尾实体'DIMM32352'
